               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.025734,            0.012133,           0.0096368,             0.97437,             0.96275,             0.99052,              0.7703,            0.020005,           0.0067143,           0.0032265,           0.0093367,           0.0093367,           0.0093367
                  69,            0.025554,            0.011539,           0.0085895,             0.96233,             0.96542,             0.98779,             0.75594,            0.020516,           0.0067224,           0.0039844,           0.0093268,           0.0093268,           0.0093268
                  70,            0.026111,            0.011745,           0.0087522,             0.96413,             0.95659,               0.987,             0.75736,            0.021117,           0.0068361,           0.0049795,           0.0093169,           0.0093169,           0.0093169
                  71,            0.025314,            0.011596,           0.0089718,             0.96856,             0.96015,             0.98975,             0.76936,            0.019523,           0.0067247,           0.0037195,            0.009307,            0.009307,            0.009307
                  72,            0.025804,            0.011746,           0.0092087,             0.96351,             0.97084,             0.99093,             0.77106,            0.019256,           0.0065862,            0.003196,           0.0092971,           0.0092971,           0.0092971
                  73,            0.025667,            0.011774,           0.0083666,             0.97063,             0.96529,             0.99061,             0.77935,            0.018749,           0.0066311,           0.0035116,           0.0092872,           0.0092872,           0.0092872
                  74,            0.025976,            0.011559,           0.0095647,             0.96671,             0.96671,             0.99108,             0.77154,            0.018931,           0.0066187,           0.0030203,           0.0092773,           0.0092773,           0.0092773
                  75,            0.025048,            0.011578,            0.008138,             0.96904,             0.96466,             0.99076,             0.77704,            0.019385,           0.0064396,            0.003213,           0.0092674,           0.0092674,           0.0092674
                  76,             0.02561,            0.011674,           0.0085981,              0.9759,             0.97307,             0.99146,             0.78486,             0.01941,           0.0064089,           0.0025939,           0.0092575,           0.0092575,           0.0092575
                  77,            0.026285,            0.012007,            0.008089,              0.9823,             0.97135,             0.99311,             0.78527,            0.018834,            0.006318,           0.0022978,           0.0092476,           0.0092476,           0.0092476
                  78,            0.025033,            0.011261,           0.0080119,             0.98005,             0.97631,             0.99204,             0.78812,            0.018359,           0.0062503,           0.0030322,           0.0092377,           0.0092377,           0.0092377
                  79,            0.024873,            0.010839,           0.0081015,             0.98185,             0.97737,             0.99291,             0.78233,            0.019403,           0.0063208,           0.0028564,           0.0092278,           0.0092278,           0.0092278
                  80,            0.025046,            0.011187,           0.0071589,             0.97441,             0.97819,             0.99344,             0.78268,            0.019544,           0.0063762,           0.0026727,           0.0092179,           0.0092179,           0.0092179
                  81,            0.024454,            0.011427,           0.0074306,             0.96608,             0.95463,             0.98804,             0.78625,            0.019844,           0.0065841,            0.004094,            0.009208,            0.009208,            0.009208
                  82,            0.024244,            0.010867,           0.0067323,             0.97832,             0.98687,             0.99358,             0.80252,             0.01797,           0.0060479,           0.0026668,           0.0091981,           0.0091981,           0.0091981
                  83,            0.024199,            0.010624,           0.0077251,             0.98274,             0.98066,             0.99297,             0.80192,            0.018026,            0.006039,           0.0026738,           0.0091882,           0.0091882,           0.0091882
                  84,            0.024422,            0.010935,              0.0078,             0.97996,             0.97734,             0.99312,             0.79225,             0.01806,           0.0061163,           0.0023163,           0.0091783,           0.0091783,           0.0091783
                  85,            0.024919,             0.01128,           0.0071382,             0.98335,             0.97904,             0.99348,             0.78295,            0.018681,             0.00619,           0.0024985,           0.0091684,           0.0091684,           0.0091684
                  86,            0.024112,            0.011059,            0.006644,             0.97116,             0.96955,             0.99097,             0.78441,             0.01895,           0.0060639,           0.0030413,           0.0091585,           0.0091585,           0.0091585
                  87,            0.024033,            0.010728,           0.0066305,              0.9869,             0.98853,             0.99369,             0.80112,            0.017337,           0.0061022,           0.0024903,           0.0091486,           0.0091486,           0.0091486
                  88,            0.023544,            0.011004,           0.0068621,             0.97974,             0.98794,             0.99381,             0.81298,            0.017841,           0.0059908,           0.0024598,           0.0091387,           0.0091387,           0.0091387
                  89,            0.023685,            0.010758,             0.00674,             0.98621,             0.98572,             0.99429,              0.8109,            0.017769,           0.0059027,           0.0023825,           0.0091288,           0.0091288,           0.0091288
                  90,            0.023777,             0.01063,           0.0068542,              0.9734,             0.99103,             0.99403,              0.8083,            0.017751,           0.0060187,           0.0023616,           0.0091189,           0.0091189,           0.0091189
                  91,            0.024143,            0.011028,           0.0074863,             0.97957,             0.98735,             0.99416,             0.80242,            0.017799,           0.0060352,           0.0025391,            0.009109,            0.009109,            0.009109
                  92,            0.023868,            0.010962,            0.007349,             0.97412,             0.97994,             0.99253,             0.80534,            0.017765,           0.0061109,           0.0025855,           0.0090991,           0.0090991,           0.0090991
                  93,            0.023145,            0.010998,           0.0070353,             0.98736,             0.98588,             0.99389,             0.81862,            0.016977,           0.0059265,           0.0020058,           0.0090892,           0.0090892,           0.0090892
                  94,            0.023577,            0.010995,           0.0074307,             0.98433,               0.991,             0.99403,             0.80853,            0.016961,           0.0060115,           0.0020725,           0.0090793,           0.0090793,           0.0090793
                  95,            0.023562,            0.010671,           0.0075831,             0.97299,             0.98102,             0.99097,             0.80786,            0.017722,           0.0058953,            0.002486,           0.0090694,           0.0090694,           0.0090694
                  96,            0.023964,            0.010722,           0.0066398,             0.98185,             0.99077,             0.99409,             0.81532,             0.01672,             0.00597,           0.0023452,           0.0090595,           0.0090595,           0.0090595
                  97,             0.02334,            0.011017,           0.0071853,             0.98039,             0.99097,             0.99405,             0.82174,            0.017228,           0.0058173,           0.0022569,           0.0090496,           0.0090496,           0.0090496
                  98,            0.022611,            0.010603,           0.0070117,             0.99075,             0.98801,             0.99463,             0.81792,            0.016805,           0.0057225,           0.0018748,           0.0090397,           0.0090397,           0.0090397
                  99,            0.023302,            0.010917,           0.0067336,             0.99082,             0.98911,             0.99441,             0.79917,            0.017307,           0.0058621,           0.0020312,           0.0090298,           0.0090298,           0.0090298
                 100,            0.023251,            0.010964,           0.0067298,             0.98172,             0.99191,             0.99434,             0.81702,            0.016409,           0.0057894,           0.0020216,           0.0090199,           0.0090199,           0.0090199
                 101,             0.02305,            0.010743,           0.0065096,             0.98853,             0.99075,             0.99441,             0.81136,             0.01683,           0.0057294,           0.0018929,             0.00901,             0.00901,             0.00901
                 102,            0.022536,            0.010384,           0.0064819,             0.98381,              0.9792,             0.99369,             0.80541,            0.017222,           0.0058777,           0.0025376,           0.0090001,           0.0090001,           0.0090001
                 103,            0.022882,            0.010852,           0.0064959,             0.98403,             0.98658,             0.99424,             0.82076,            0.016569,           0.0057304,           0.0021145,           0.0089902,           0.0089902,           0.0089902
                 104,            0.022262,            0.010283,           0.0061202,             0.98993,             0.99149,             0.99451,             0.82002,            0.016186,            0.005619,           0.0022278,           0.0089803,           0.0089803,           0.0089803
                 105,             0.02319,            0.010587,           0.0058666,              0.9924,             0.99067,             0.99451,             0.83663,            0.016089,           0.0055341,           0.0017828,           0.0089704,           0.0089704,           0.0089704
                 106,            0.022262,            0.010845,           0.0059797,             0.98976,             0.98939,             0.99467,             0.84107,            0.016052,           0.0054183,           0.0018859,           0.0089605,           0.0089605,           0.0089605
                 107,            0.021679,            0.009927,           0.0058738,              0.9871,             0.99327,             0.99365,             0.83221,            0.015955,           0.0054297,           0.0019285,           0.0089506,           0.0089506,           0.0089506
                 108,            0.023117,            0.010753,           0.0059898,             0.99171,              0.9887,             0.99445,             0.83698,            0.016028,           0.0055232,           0.0022003,           0.0089407,           0.0089407,           0.0089407
                 109,            0.022689,            0.010139,           0.0057726,             0.98742,             0.99268,             0.99472,             0.83164,            0.015581,           0.0055149,           0.0020763,           0.0089308,           0.0089308,           0.0089308
                 110,            0.022517,            0.010085,           0.0063269,             0.98555,             0.98701,             0.99417,              0.8284,             0.01689,           0.0056719,           0.0022376,           0.0089209,           0.0089209,           0.0089209
                 111,            0.022225,            0.010411,           0.0060588,             0.99157,             0.98885,             0.99456,             0.82819,            0.015443,           0.0055732,           0.0018264,            0.008911,            0.008911,            0.008911
                 112,            0.022755,            0.010558,           0.0063463,             0.98919,             0.99129,             0.99472,              0.8333,            0.015465,           0.0055703,           0.0020066,           0.0089011,           0.0089011,           0.0089011
                 113,            0.021904,             0.01042,           0.0056688,             0.99037,             0.98637,             0.99345,             0.83017,            0.015974,           0.0055266,           0.0019702,           0.0088912,           0.0088912,           0.0088912
                 114,            0.021702,            0.010105,           0.0052933,             0.99314,             0.98004,             0.99425,             0.83435,            0.015506,           0.0054369,           0.0022278,           0.0088813,           0.0088813,           0.0088813
                 115,             0.02228,            0.010334,           0.0052069,             0.98779,             0.99384,             0.99448,             0.84441,            0.014929,           0.0054063,           0.0017959,           0.0088714,           0.0088714,           0.0088714
                 116,             0.02153,            0.010132,           0.0059522,             0.98628,             0.99057,             0.99384,             0.83244,            0.016031,           0.0056739,           0.0021408,           0.0088615,           0.0088615,           0.0088615
                 117,            0.021513,           0.0095953,           0.0055435,             0.99205,             0.99283,             0.99459,             0.84169,            0.015377,           0.0054467,           0.0018764,           0.0088516,           0.0088516,           0.0088516
                 118,            0.021619,           0.0099624,            0.005796,             0.99157,             0.98349,             0.99427,             0.83655,            0.015033,           0.0053859,           0.0019653,           0.0088417,           0.0088417,           0.0088417
                 119,            0.021976,           0.0098082,           0.0057921,             0.99392,             0.99062,             0.99443,             0.83231,            0.014987,           0.0053904,           0.0019391,           0.0088318,           0.0088318,           0.0088318
                 120,             0.02227,            0.010505,            0.006083,              0.9866,             0.98538,             0.99444,             0.83593,            0.015027,           0.0054082,            0.002041,           0.0088219,           0.0088219,           0.0088219
                 121,            0.020923,            0.010502,           0.0050314,             0.98925,             0.99274,             0.99464,             0.84903,            0.014594,            0.005338,           0.0016675,            0.008812,            0.008812,            0.008812
                 122,            0.021001,             0.01006,            0.005442,             0.98882,             0.98895,             0.99445,             0.84714,            0.015115,           0.0054227,            0.001888,           0.0088021,           0.0088021,           0.0088021
                 123,            0.021403,            0.009939,           0.0053445,             0.97849,             0.98302,             0.99243,             0.83365,            0.015792,            0.005475,           0.0026396,           0.0087922,           0.0087922,           0.0087922
                 124,            0.021287,           0.0096268,           0.0056684,             0.99467,             0.99479,             0.99494,             0.84048,            0.015177,            0.005287,           0.0016082,           0.0087823,           0.0087823,           0.0087823
                 125,            0.020747,           0.0099742,           0.0045441,             0.99452,             0.99698,             0.99495,             0.84927,            0.014458,           0.0051707,           0.0016035,           0.0087724,           0.0087724,           0.0087724
                 126,            0.021532,           0.0099898,           0.0053673,             0.98716,             0.99186,              0.9947,             0.83822,            0.014946,           0.0052842,           0.0016306,           0.0087625,           0.0087625,           0.0087625
                 127,            0.020825,           0.0099616,           0.0059235,             0.99089,             0.99449,             0.99456,             0.84716,            0.015097,           0.0052909,           0.0016257,           0.0087526,           0.0087526,           0.0087526
                 128,            0.021333,            0.010006,           0.0056801,             0.99217,             0.99378,             0.99446,             0.84816,            0.014446,           0.0052601,           0.0016315,           0.0087427,           0.0087427,           0.0087427
                 129,            0.021225,           0.0096482,           0.0058645,             0.99481,             0.99495,             0.99471,             0.85026,            0.014705,           0.0052724,            0.001624,           0.0087328,           0.0087328,           0.0087328
                 130,            0.020579,            0.009734,           0.0049011,             0.98549,             0.99224,             0.99371,             0.84653,            0.014868,           0.0051872,           0.0020574,           0.0087229,           0.0087229,           0.0087229
                 131,            0.021728,           0.0099398,           0.0057477,             0.98942,             0.99292,             0.99435,             0.85221,            0.014364,           0.0052389,           0.0018711,            0.008713,            0.008713,            0.008713
                 132,            0.020783,           0.0099495,           0.0051114,             0.99359,             0.99222,             0.99472,             0.84762,            0.014491,           0.0053906,           0.0015713,           0.0087031,           0.0087031,           0.0087031
                 133,            0.020761,           0.0098524,           0.0047143,             0.99346,             0.99707,             0.99485,             0.85256,            0.014311,           0.0052061,            0.001537,           0.0086932,           0.0086932,           0.0086932
                 134,            0.020413,            0.009568,           0.0048036,             0.98572,             0.99257,             0.99439,             0.84818,            0.014039,           0.0051757,           0.0019606,           0.0086833,           0.0086833,           0.0086833
                 135,             0.02066,           0.0095193,           0.0052717,             0.98932,             0.99475,             0.99455,             0.86119,            0.013879,           0.0050802,           0.0016927,           0.0086734,           0.0086734,           0.0086734
                 136,            0.020309,            0.009632,           0.0054677,             0.99378,              0.9932,             0.99493,             0.86077,            0.014074,           0.0051224,           0.0016517,           0.0086635,           0.0086635,           0.0086635
                 137,            0.020852,           0.0098797,            0.005721,             0.98898,             0.99444,             0.99444,             0.85547,            0.014375,           0.0051989,           0.0017127,           0.0086536,           0.0086536,           0.0086536
                 138,            0.019828,            0.009617,           0.0048877,             0.98866,             0.99564,             0.99474,             0.85693,            0.013889,           0.0050912,           0.0022154,           0.0086437,           0.0086437,           0.0086437
                 139,            0.020151,            0.009786,           0.0048883,             0.98981,              0.9968,             0.99474,             0.86136,            0.014281,           0.0050697,           0.0016157,           0.0086338,           0.0086338,           0.0086338
                 140,            0.020127,           0.0095898,           0.0052952,             0.98674,             0.99377,             0.99448,             0.85877,            0.013751,           0.0050957,           0.0015695,           0.0086239,           0.0086239,           0.0086239
                 141,            0.021154,           0.0094508,            0.004136,             0.98766,             0.99612,             0.99442,             0.85145,            0.014518,           0.0050783,           0.0014595,            0.008614,            0.008614,            0.008614
                 142,            0.019982,            0.009534,           0.0044577,              0.9935,             0.99392,              0.9948,              0.8654,            0.013961,           0.0050329,           0.0015713,           0.0086041,           0.0086041,           0.0086041
                 143,            0.020616,           0.0093853,           0.0047442,             0.99453,             0.99446,             0.99475,             0.86028,             0.01394,           0.0050665,           0.0014973,           0.0085942,           0.0085942,           0.0085942
                 144,            0.020011,           0.0095792,           0.0054482,             0.99223,             0.99259,             0.99458,             0.86574,            0.013679,           0.0049671,           0.0016513,           0.0085843,           0.0085843,           0.0085843
                 145,            0.019714,           0.0090494,           0.0049875,             0.99453,             0.99871,             0.99499,             0.87047,            0.013124,           0.0048469,           0.0013887,           0.0085744,           0.0085744,           0.0085744
                 146,            0.020096,            0.009867,           0.0048621,             0.99335,              0.9952,             0.99483,             0.85924,            0.013459,           0.0049482,           0.0015464,           0.0085645,           0.0085645,           0.0085645
                 147,            0.019789,           0.0096932,           0.0045265,             0.99528,             0.99614,             0.99491,             0.86577,            0.013046,           0.0049564,           0.0014928,           0.0085546,           0.0085546,           0.0085546
                 148,            0.021067,           0.0096325,           0.0044745,             0.99632,             0.99522,             0.99487,             0.86873,            0.013206,           0.0048921,           0.0014521,           0.0085447,           0.0085447,           0.0085447
                 149,             0.01992,           0.0094435,           0.0049947,             0.99605,             0.99551,             0.99485,             0.87716,            0.013048,           0.0048977,           0.0014905,           0.0085348,           0.0085348,           0.0085348
                 150,            0.019727,           0.0092534,           0.0044165,             0.99232,             0.99076,             0.99483,             0.86764,            0.013176,           0.0048771,           0.0014962,           0.0085249,           0.0085249,           0.0085249
                 151,            0.020194,           0.0095293,           0.0047024,             0.99363,             0.99407,             0.99488,             0.87225,            0.013182,           0.0048584,           0.0014921,            0.008515,            0.008515,            0.008515
                 152,            0.020195,           0.0093384,           0.0043337,             0.99303,             0.99762,             0.99489,               0.879,             0.01266,           0.0048314,           0.0014285,           0.0085051,           0.0085051,           0.0085051
